playCount,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca
9008,2024-07-10T23:51:48.000Z,False,False,61,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
900200,2024-05-07T16:24:46.000Z,False,False,118,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
9000000,2023-10-04T16:11:24.000Z,False,False,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9000000,2024-01-09T18:32:13.000Z,False,False,65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9000000,2024-05-22T21:06:55.000Z,True,False,55,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9000000,2024-02-24T03:41:59.000Z,False,False,40,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
899200,2024-06-10T01:43:57.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
898000,2024-06-30T22:05:07.000Z,False,False,91,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
897,2024-07-10T21:15:12.000Z,False,False,15,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
896300,2024-01-09T12:04:20.000Z,False,False,40,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
894500,2024-04-14T21:16:59.000Z,False,False,53,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8940,2024-07-10T14:15:40.000Z,False,False,8,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
89300,2024-07-10T13:40:38.000Z,False,False,86,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
891600,2023-12-17T03:38:42.000Z,False,False,36,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
891,2023-10-30T06:45:22.000Z,False,False,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8903,2023-12-18T23:41:59.000Z,False,False,22,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
89000,2024-07-10T21:12:10.000Z,False,False,239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
889100,2024-03-21T02:58:29.000Z,False,False,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
887,2024-07-10T19:24:18.000Z,False,False,17,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
887,2024-07-10T22:47:47.000Z,False,False,73,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
885000,2023-09-08T01:08:59.000Z,False,False,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
882200,2024-06-18T21:22:05.000Z,False,False,13,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8820,2024-07-11T02:19:24.000Z,True,False,46,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8800000,2024-01-11T00:52:36.000Z,False,False,10,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8800000,2024-05-06T04:13:34.000Z,False,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
878800,2024-07-04T16:02:24.000Z,False,False,13,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
878100,2024-05-13T18:07:43.000Z,False,False,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
877800,2024-06-06T02:03:15.000Z,False,False,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
87700,2024-06-01T17:41:13.000Z,False,False,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87700,2024-07-09T12:15:53.000Z,False,False,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8770,2024-07-11T01:57:43.000Z,False,False,106,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
876400,2024-06-17T17:02:14.000Z,False,False,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
875300,2024-06-19T08:10:52.000Z,False,False,59,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
875200,2024-06-05T15:55:10.000Z,False,False,18,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
873700,2024-06-10T16:20:06.000Z,False,False,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
873300,2024-03-11T21:00:53.000Z,False,False,104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
872200,2024-07-05T15:36:27.000Z,False,False,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87000000,2024-03-04T23:08:43.000Z,True,False,59,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8700000,2024-05-17T02:25:46.000Z,False,False,87,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8700000,2024-06-21T04:57:18.000Z,False,False,64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8700000,2024-05-06T20:21:03.000Z,False,False,48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
870000,2024-05-08T18:08:09.000Z,False,False,15,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
867100,2024-03-01T16:24:14.000Z,False,False,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
865600,2024-06-25T21:30:55.000Z,False,False,367,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
8624,2024-06-28T21:25:01.000Z,False,False,11,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
860900,2024-04-14T04:01:09.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8600000,2024-02-10T12:00:00.000Z,False,False,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8600000,2024-01-19T02:37:47.000Z,False,False,139,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
860,2024-07-11T00:38:50.000Z,False,False,54,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
860,2024-07-11T00:38:50.000Z,False,False,54,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
859500,2024-04-21T18:23:57.000Z,False,False,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
858600,2024-05-28T21:40:20.000Z,False,False,54,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
857500,2024-05-08T04:04:41.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
857500,2023-06-26T21:10:11.000Z,False,False,17,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8573,2024-04-02T00:11:07.000Z,False,False,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
856100,2023-05-01T20:22:28.000Z,False,False,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
8557,2024-07-11T00:10:17.000Z,False,False,39,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85500,2022-10-26T15:24:08.000Z,False,False,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85500,2022-10-26T15:24:08.000Z,False,False,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85200,2024-07-10T17:26:27.000Z,False,False,35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
850300,2022-11-23T03:57:26.000Z,False,False,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
