diggCount,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca
92,2024-07-10T16:55:33.000Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913100,2023-08-26T02:59:14.000Z,0,0,26,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9130,2024-02-22T17:46:02.000Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2023-10-18T06:00:11.000Z,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,2024-07-10T22:49:05.000Z,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90900,2024-04-05T23:37:47.000Z,0,0,108,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
90900,2024-05-17T03:12:11.000Z,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9085,2022-12-30T20:48:19.000Z,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90800,2024-03-30T21:15:38.000Z,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907400,2024-05-17T02:25:46.000Z,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90500,2022-03-30T16:19:17.000Z,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90500,2024-03-08T20:18:24.000Z,0,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
901500,2024-01-09T17:50:05.000Z,0,0,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,2023-11-08T15:47:40.000Z,1,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2022-05-14T18:28:48.000Z,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-07-10T18:54:20.000Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-07-10T14:58:42.000Z,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
898800,2024-01-31T04:43:07.000Z,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89700,2024-02-29T19:56:12.000Z,1,0,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89700,2024-04-04T21:00:15.000Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89600,2024-05-11T13:23:39.000Z,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891700,2024-03-07T21:09:20.000Z,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89000,2024-03-31T14:57:39.000Z,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2024-07-10T22:07:07.000Z,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88900,2023-12-19T04:02:21.000Z,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8888,2024-07-10T17:26:27.000Z,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8884,2024-06-28T19:12:29.000Z,0,0,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8880,2024-07-05T04:53:51.000Z,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8865,2022-10-31T02:32:59.000Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884200,2024-03-21T19:09:15.000Z,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8838,2024-03-18T20:27:26.000Z,0,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882900,2024-06-17T18:24:18.000Z,0,0,39,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88100,2022-08-15T20:26:51.000Z,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88100,2024-05-29T16:31:06.000Z,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88000,2024-05-22T12:08:09.000Z,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2024-07-11T02:05:07.000Z,0,0,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,2023-04-11T21:29:20.000Z,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87900,2023-06-29T07:36:36.000Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87900,2024-06-17T10:59:43.000Z,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87800,2024-06-20T14:45:10.000Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87700,2023-11-30T18:38:52.000Z,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876100,2024-05-23T01:46:44.000Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87600,2024-01-09T12:04:20.000Z,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8750,2024-04-27T08:36:36.000Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,2023-10-25T22:29:10.000Z,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87300,2024-04-28T18:33:13.000Z,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,2024-07-10T23:49:19.000Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2024-07-11T01:11:23.000Z,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
869400,2024-03-06T22:32:45.000Z,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86800,2024-06-23T22:55:19.000Z,0,0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
868,2024-07-10T19:05:40.000Z,0,0,33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8675,2024-07-10T20:35:33.000Z,0,0,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864300,2023-10-17T15:06:28.000Z,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862,2024-07-10T23:50:18.000Z,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,2024-01-29T23:15:45.000Z,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85900,2024-07-03T03:58:25.000Z,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8573,2023-03-10T15:04:21.000Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85700,2023-12-21T00:08:26.000Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8569,2023-12-18T07:05:33.000Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8555,2024-06-19T18:30:47.000Z,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855200,2024-03-19T17:22:24.000Z,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85500,2024-04-25T05:20:06.000Z,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8548,2024-03-19T00:45:08.000Z,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854100,2024-02-15T19:59:03.000Z,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8529,2023-05-10T13:32:31.000Z,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8511,2024-05-04T01:31:56.000Z,0,0,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
851,2023-07-08T15:05:43.000Z,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84600,2023-03-22T23:21:25.000Z,0,0,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
84600,2024-03-21T02:58:29.000Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
845,2022-10-27T20:34:44.000Z,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8409,2023-11-05T12:51:55.000Z,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840300,2024-03-01T03:38:10.000Z,1,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2024-07-11T02:16:24.000Z,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,2024-07-10T16:27:20.000Z,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83700,2024-07-07T01:57:06.000Z,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83300,2023-12-23T20:53:45.000Z,0,0,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832700,2024-05-20T12:22:03.000Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82900,2024-07-02T17:22:12.000Z,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828400,2024-03-02T08:31:14.000Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827400,2024-03-10T08:17:13.000Z,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82700,2023-12-04T23:47:56.000Z,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,2024-07-11T01:40:56.000Z,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82600,2024-06-27T06:50:25.000Z,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82400,2024-05-24T00:44:04.000Z,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82200,2024-06-28T14:55:06.000Z,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82100,2024-03-13T23:41:09.000Z,1,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82100,2023-11-03T20:28:29.000Z,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82000,2024-06-21T23:03:03.000Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2024-07-11T00:02:50.000Z,0,0,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819300,2024-06-26T21:35:25.000Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,2024-04-06T16:06:15.000Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,2024-07-11T01:07:33.000Z,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81600,2024-07-06T20:39:17.000Z,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,2024-07-11T00:41:31.000Z,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81400,2024-06-27T17:13:07.000Z,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,2024-07-11T01:07:33.000Z,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81200,2024-06-17T21:02:04.000Z,1,0,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,2024-07-06T00:19:28.000Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81100,2024-07-09T18:26:02.000Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8100,2024-06-14T17:46:48.000Z,1,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2024-07-11T02:12:22.000Z,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
809700,2024-05-02T03:48:39.000Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80900,2023-09-13T17:27:38.000Z,0,0,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8077,2024-06-23T16:54:28.000Z,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807500,2024-05-22T14:44:54.000Z,0,0,62,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
807300,2023-01-10T16:42:49.000Z,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80600,2024-06-13T14:11:14.000Z,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80600,2024-01-24T13:00:00.000Z,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
