diggCount,createTime,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca,hashtags_0_name,hashtags_1_name,hashtags_2_name,hashtags_3_name,hashtags_4_name,hashtags_5_name,hashtags_6_name,hashtags_7_name,hashtags_8_name,hashtags_9_name,hashtags_10_name,hashtags_11_name,hashtags_12_name,hashtags_13_name,hashtags_14_name,hashtags_15_name,hashtags_16_name,hashtags_17_name,hashtags_18_name,hashtags_19_name,hashtags_20_name,hashtags_21_name,hashtags_22_name,hashtags_23_name,hashtags_24_name,hashtags_25_name,hashtags_26_name,hashtags_27_name,hashtags_28_name,hashtags_29_name,hashtags_30_name,hashtags_31_name,hashtags_32_name,hashtags_33_name,hashtags_34_name,hashtags_35_name,hashtags_36_name,hashtags_37_name,hashtags_38_name,hashtags_39_name,hashtags_40_name,hashtags_41_name,hashtags_42_name,hashtags_43_name,hashtags_44_name,hashtags_45_name,hashtags_46_name,hashtags_47_name
82700,1701733676,2023-12-04T23:47:56.000Z,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greenscreen,degreefree,degreefreepodcast,degreefreeteens,degreefreejobs,degreefreecareers,electricallineman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416300,1710949007,2024-03-20T15:36:47.000Z,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,garenafreefire,sensibilidade,freefiretrend,ghost_warrior444,hiz,freefiresettingspro,phonesetting,ghost_warrior444,sensibility,headsetfreefire,freefirehack,freefiresetting,speed,sensitivity✔️⚙️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507200,1710722660,2024-03-18T00:44:20.000Z,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stitch,,degreefreelaunchprogram,degreefree,degreefreejobs,degreefreecareers,degreefreepodcast,degreefreemovement,degreefreework,jobs,careers,college,education,highschool,collegealternative,collegealternatives,studentloans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719300,1708535340,2024-02-21T17:09:00.000Z,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alleyesonrafah🇵🇸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179700,1707067963,2024-02-04T17:32:43.000Z,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,boyaah,2024,viral,juegos,fyp,parati,tiktok,garenafreefire,garena,freefire,edit,nuevo,colombia,actualizacionfreefire,caos,pasebooyah,emotesnuevos,emotes,nuevos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415300,1707882034,2024-02-14T03:40:34.000Z,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,free,vybzkartel,reggae,marley,jamaicantiktokviral🇯🇲,fypviral,fy,jamaicantiktokviral🇯🇲,fy,foryoupage,uk,privycouncil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100000,1717020842,2024-05-29T22:14:02.000Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friendship,food,freefood,real,love,fyp,viral,helf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459900,1712916969,2024-04-12T10:16:09.000Z,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foryou,fyp,fypシ,foryoupage,1millionviews,unfreezemyaccount,prayforplastine❤️🇯🇴,freepalistine🇵🇸,standwithpalestine,plzviralvideo,foryoupage,foryou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869400,1709764365,2024-03-06T22:32:45.000Z,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,roytwins,lasgemelasdelfree,roylimaryroyerlin,parati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200800,1715559984,2024-05-13T00:26:24.000Z,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ecuador🇪🇨,tena,ecuador,ecuador,promo2024,colegio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1720644647,2024-07-10T20:50:47.000Z,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ecuador🇪🇨,paratii,viralvideo,fybシviral,destacame,computadora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1720630299,2024-07-10T16:51:39.000Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,fypage,parati,ps5,guayaquil,ecuador🇪🇨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1720630122,2024-07-10T16:48:42.000Z,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perfumes,splash,perfumesdehombre,perfumesdemujer,emprendimiento,empender,combo,fyp,ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,1717619818,2024-06-05T20:36:58.000Z,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parati,fypシ゚,colegio,promo24,desayuno,ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1720632713,2024-07-10T17:31:53.000Z,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blusaspolo,original,compraseeuu,ventasecuador,rimmarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48100,1715824545,2024-05-16T01:55:45.000Z,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,napo,ecuador🇪🇨,promo2024,ecuador,nacionaltena,tena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1720566345,2024-07-09T23:05:45.000Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regalosecuador🇪🇨,enviosecuador,regalosparanovios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1720663915,2024-07-11T02:11:55.000Z,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,fyppppppppppppppppppppppp,viralvideo,promo24❤️,fpy,estudiantes,olimpiadas,ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93500,1697669559,2023-10-18T22:52:39.000Z,0,0,29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,promo24,senior,egresados,fyp,viral,tiktok,quito,ecuador,parati,24,prom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1720636583,2024-07-10T18:36:23.000Z,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,graduacion,promo2023_2024,comenten💗👑🥺para_más_videos,pillaro_ecuador🇪🇨,ciencas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1720652330,2024-07-10T22:58:50.000Z,0,0,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,antioqueño,esmio,aguardienteantioqueño,aguardiente,colombia,quito,lugaresquito,huecasquito,licoresquito,ecuador,parati,fypシ,promofiestera,fiesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,1719252141,2024-06-24T18:02:21.000Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,viral,parati,promo,colegio,amigos,fyp,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,ecuador🇪🇨,pppppppppppppppp,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,humor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1668625769,2022-11-16T19:09:29.000Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1720556634,2024-07-09T20:23:54.000Z,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quito_ecuador🇪🇨,surdequito,villafloraquito,magicfairyspa,cuidadodelapiel,limpiezafacial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,1699399700,2023-11-07T23:28:20.000Z,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,golpe,box,reflejos,buenosreflejos,mundonegocio,guayaquil,ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1670463095,2022-12-08T01:31:35.000Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1689364764,2023-07-14T19:59:24.000Z,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,tiktok,bicicleta,fyp,samborondon,importadora,cuencaecuador❤️🇪🇨,guayaquil,aurora,ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887,1708049208,2024-02-16T02:06:48.000Z,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fyp,promo23,eventos,parati,ecuadortiktok,lentejas,decoration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5636,1717460050,2024-06-04T00:14:10.000Z,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,promo,colegio,ecuador,fyp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75300,1695246364,2023-09-20T21:46:04.000Z,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,ecuador🇪🇨🇪🇨,promo,guayaquil,funk,fyp,quito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,1717263588,2024-06-01T17:39:48.000Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,viral,fyppppppppppppppppppppppp,borrador,ecuador🇪🇨,promo23,promo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32500,1698083835,2023-10-23T17:57:15.000Z,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,maquillaje,guayaquil_ecuador🇪🇨,ecuador🇪🇨,guayaquil,emprende,tiendafisica,skincare,makeup,promo,bahia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1720576881,2024-07-10T02:01:21.000Z,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foodiesibarra,reelviral,alitasbbq,chickenwings,fypシ,food,comidaadomicilio,foodie,ibarraecuador,🍗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,1720023692,2024-07-03T16:21:32.000Z,0,0,21,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,promo,ecuador,quito,uce,beer,latri,tricolor,futbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
